Year,Inside Reserve (ha),Buffer Zone (ha),Inside Concessions,Buffer Concessions
2006,7469,283678,4,20
2007,206524,304131,27,15
2008,11032,159369,2,15
2009,4160,265360,1,17
2010,0,173545,0,6
2011,9589,57782,1,7
2012,0,221313,0,14
