code,date_de1,date_do,gfwid,globalid,objectid,parties,resource,shape_Area,shape_Length,statut,sup_sig_ha,type
4834,2013-04-06T00:00:00Z,2008-04-07T00:00:00Z,20828339-5342-4dcd-8478-69ac6b2834c9,{56DFD1EC-DC59-4329-86DE-5D155CB91E1F},2815,KGL-SIHU,Au,30991659.38057159,22268.061599999666,Radiation en cours,3055,PR (PP)
4841,2012-07-18T00:00:00Z,2007-07-19T00:00:00Z,469b1f87-6d26-47b2-8fd9-7985aa251e11,{163F4B59-3A78-4FE4-9A59-3CB8B73F011D},2820,Top Fric,Au,30989324.454243317,22267.222600005567,Radiation en cours,3055,PR (AS)
4842,2012-07-18T00:00:00Z,2007-07-19T00:00:00Z,bda40ed2-045d-4b2b-ab8f-0266dca7725a,{6AA62396-9200-4D39-8CDD-64D9F7BC498F},2821,Top Fric,Au,30989997.38058012,22267.46440000832,Radiation en cours,3055,PR (AS)
4843,2012-07-18T00:00:00Z,2007-07-19T00:00:00Z,5fba3058-9150-4613-9316-aa49f13c59ed,{52DE6C03-692A-47BC-8659-2BBA3656854E},2822,Top Fric,Au,30990812.23926657,22267.75720001012,Radiation en cours,3055,PR (AS)
4844,2012-07-18T00:00:00Z,2007-07-19T00:00:00Z,60631907-bb48-492a-bd4c-04b9ae1e2b39,{EBBB46E9-7ECC-426B-90A2-EF54784361B2},2823,Top Fric,Au,30991659.38059233,22268.061600007117,Radiation en cours,3055,PR (AS)
4845,2012-07-18T00:00:00Z,2007-07-19T00:00:00Z,5928e5f1-095c-4a7e-b30b-efc8d42ba4f5,{F6E59C48-F97B-489D-9560-AEBAB041F998},2824,AFRIMINES RESOURCES Sprl,Au,30992538.247971255,22268.377400003374,Radiation en cours,3055,PR (AS)
4846,2012-07-18T00:00:00Z,2007-07-19T00:00:00Z,02ef3117-cb5c-4cfc-8f42-93280344c546,{BB341B77-3BCA-42A7-A318-146A04D91D00},2825,Top Fric,Au,30989434.660350863,22267.262199997902,Radiation en cours,3055,PR (AS)
4847,2012-07-18T00:00:00Z,2007-07-19T00:00:00Z,86ae779a-fca5-4547-b386-a77359364128,{518FA9AC-3EF5-43F3-9EC9-3619719E7019},2826,Top Fric,Au,30990110.926254604,22267.505199998617,Radiation en cours,3055,PR (AS)
4848,2012-07-18T00:00:00Z,2007-07-19T00:00:00Z,78902356-9faf-4b25-8d49-115b6e77fd86,{848F9224-6807-40F2-BCDB-0153998ADA82},2827,Top Fric,Au,30990811.682466745,22267.757000006735,Radiation en cours,3055,PR (AS)
4849,2012-07-18T00:00:00Z,2007-07-19T00:00:00Z,639f286c-5622-469f-9db3-2c5de181bcf2,{36B5C216-5765-4A18-9145-5203C60A8A88},2828,Top Fric,Au,30990812.23924583,22267.75720000267,Radiation en cours,3055,PR (AS)
4850,2012-07-18T00:00:00Z,2007-07-19T00:00:00Z,a5ac8994-6fbb-4183-b1ec-7ed988152cf5,{935C0EFC-0B5C-423D-9223-C535B520EBAB},2829,Top Fric,Au,30990111.483021095,22267.505399994552,Radiation en cours,3055,PR (AS)
4851,2012-07-18T00:00:00Z,2007-07-19T00:00:00Z,afd701b7-b6aa-470c-9ebe-bd92a5350aef,{852A83E9-E81E-4F39-A3A5-328246867275},2830,Top Fric,Au,30989435.217105206,22267.262399993837,Radiation en cours,3055,PR (AS)
4852,2012-07-18T00:00:00Z,2007-07-19T00:00:00Z,d62bce30-8ab7-444f-83ac-1dc2fe6a15b3,{36917E79-CA35-4F54-B7A9-4FA6D36C3B58},2831,Top Fric,Au,30992537.691140417,22268.3772,Radiation en cours,3055,PR (AS)
4853,2012-07-18T00:00:00Z,2007-07-19T00:00:00Z,bb2726ba-083f-4a96-848e-f834a36b6fc9,{952DF044-2F70-4997-AA22-4F85647FC957},2832,Top Fric,Au,5165114.586370236,12991.125400006771,Radiation en cours,509,PR (AS)
4854,2012-07-18T00:00:00Z,2007-07-19T00:00:00Z,ed159a40-9f97-4940-bcb0-05cea7f529af,{F8C0540F-5B11-4C99-AB32-C6748120C6EA},2833,Top Fric,Au,15495829.13348112,16702.08680000156,Radiation en cours,1528,PR (AS)
4855,2012-07-18T00:00:00Z,2007-07-19T00:00:00Z,55885eef-ccde-4e96-a395-1bfedf202ed4,{CDD6A0A3-CA08-46B5-A8FA-C81AC1BF9C44},2834,Top Fric,Au,6886688.744832324,16700.924400001764,Radiation en cours,679,PR (AS)
4856,2012-07-18T00:00:00Z,2007-07-19T00:00:00Z,1737668b-8e7c-4e3c-ba1f-067dd51eedb7,{0B7030F9-199D-49CE-9D70-F24E1708AB41},2835,Top Fric,Au,5164903.54401336,12990.670400001109,Radiation en cours,509,PR (AS)
4857,2012-07-18T00:00:00Z,2007-07-19T00:00:00Z,da73516b-efbc-4ce9-bdc8-adffeaa24fa3,{319893C9-EC73-4522-BBFC-894E8851E75A},2836,Top Fric,Au,5165078.799226472,12990.937199994922,Radiation en cours,509,PR (AS)
4858,2012-07-18T00:00:00Z,2007-07-19T00:00:00Z,76750272-3fc0-45a8-acfa-e78a934b85f8,{3BFA97C5-D17D-49C5-ADC6-B76D43EFE0D4},2837,Top Fric,Au,5164965.345210861,12990.692599996924,Radiation en cours,509,PR (AS)
